Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,RUS_X
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.83 (0.81-0.85) ± 0.02,0.82 (0.79-0.84) ± 0.02,0.82 (0.80-0.84) ± 0.02,0.82 (0.79-0.84) ± 0.02,0.80 (0.76-0.83) ± 0.02,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05,35.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.86) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.73 (0.67-0.78) ± 0.05,35.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.88 (0.85-0.89) ± 0.02,0.71 (0.67-0.73) ± 0.03,0.77 (0.74-0.79) ± 0.02,0.71 (0.67-0.73) ± 0.03,0.65 (0.59-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.67) ± 0.03,35.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.83 (0.81-0.85) ± 0.01,0.82 (0.81-0.84) ± 0.01,0.83 (0.81-0.84) ± 0.01,0.82 (0.81-0.84) ± 0.01,0.81 (0.80-0.83) ± 0.01,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05,30.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.81-0.87) ± 0.03,0.84 (0.80-0.86) ± 0.02,0.84 (0.82-0.86) ± 0.02,0.84 (0.80-0.86) ± 0.02,0.82 (0.78-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.73 (0.67-0.78) ± 0.05,30.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.87 (0.84-0.89) ± 0.02,0.72 (0.69-0.76) ± 0.03,0.77 (0.75-0.81) ± 0.02,0.72 (0.69-0.76) ± 0.03,0.66 (0.61-0.72) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.62 (0.60-0.66) ± 0.02,30.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.83 (0.80-0.85) ± 0.02,0.83 (0.82-0.86) ± 0.02,0.83 (0.81-0.85) ± 0.01,0.83 (0.82-0.86) ± 0.02,0.81 (0.80-0.85) ± 0.02,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05,25.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.83 (0.81-0.84) ± 0.01,0.84 (0.82-0.86) ± 0.02,0.83 (0.82-0.85) ± 0.01,0.84 (0.82-0.86) ± 0.02,0.83 (0.80-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.72 (0.67-0.78) ± 0.05,25.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.85 (0.78-0.89) ± 0.04,0.73 (0.69-0.76) ± 0.04,0.77 (0.72-0.81) ± 0.04,0.73 (0.69-0.76) ± 0.04,0.68 (0.61-0.73) ± 0.05,0.98 (0.98-0.99) ± 0.00,0.62 (0.59-0.64) ± 0.02,25.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.82 (0.79-0.84) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.83 (0.81-0.85) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.83 (0.80-0.86) ± 0.02,0.98 (0.98-0.99) ± 0.00,0.73 (0.66-0.81) ± 0.05,20.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.81 (0.79-0.83) ± 0.02,0.84 (0.82-0.86) ± 0.02,0.82 (0.81-0.84) ± 0.01,0.84 (0.82-0.86) ± 0.02,0.83 (0.80-0.85) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.72 (0.66-0.78) ± 0.06,20.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.84 (0.80-0.87) ± 0.03,0.74 (0.70-0.78) ± 0.03,0.78 (0.74-0.81) ± 0.03,0.74 (0.70-0.78) ± 0.03,0.69 (0.63-0.74) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.64 (0.57-0.69) ± 0.04,20.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.80 (0.76-0.84) ± 0.04,0.86 (0.83-0.91) ± 0.03,0.82 (0.79-0.85) ± 0.03,0.86 (0.83-0.91) ± 0.03,0.85 (0.82-0.91) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.73 (0.66-0.81) ± 0.06,15.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.80 (0.77-0.84) ± 0.02,0.85 (0.82-0.87) ± 0.02,0.82 (0.80-0.84) ± 0.02,0.85 (0.82-0.87) ± 0.02,0.83 (0.80-0.86) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.71 (0.65-0.78) ± 0.06,15.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.82 (0.78-0.89) ± 0.04,0.76 (0.75-0.77) ± 0.01,0.79 (0.77-0.80) ± 0.02,0.76 (0.75-0.77) ± 0.01,0.72 (0.71-0.74) ± 0.01,0.98 (0.98-0.98) ± 0.00,0.62 (0.59-0.64) ± 0.02,15.0
NaiveBayes,0.98 (0.97-0.98) ± 0.00,0.77 (0.72-0.81) ± 0.04,0.87 (0.84-0.91) ± 0.03,0.81 (0.77-0.85) ± 0.03,0.87 (0.84-0.91) ± 0.03,0.86 (0.83-0.91) ± 0.03,0.98 (0.97-0.98) ± 0.00,0.72 (0.66-0.81) ± 0.06,10.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.77 (0.75-0.78) ± 0.02,0.85 (0.82-0.88) ± 0.03,0.80 (0.78-0.82) ± 0.02,0.85 (0.82-0.88) ± 0.03,0.84 (0.80-0.88) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.70 (0.63-0.77) ± 0.06,10.0
LightGBM,0.98 (0.97-0.98) ± 0.00,0.76 (0.72-0.82) ± 0.04,0.78 (0.76-0.81) ± 0.02,0.77 (0.75-0.79) ± 0.01,0.78 (0.76-0.81) ± 0.02,0.75 (0.72-0.79) ± 0.03,0.98 (0.97-0.98) ± 0.00,0.58 (0.52-0.64) ± 0.05,10.0
NaiveBayes,0.98 (0.97-0.98) ± 0.01,0.76 (0.71-0.81) ± 0.04,0.88 (0.84-0.91) ± 0.03,0.81 (0.76-0.84) ± 0.04,0.88 (0.84-0.91) ± 0.03,0.87 (0.83-0.91) ± 0.03,0.98 (0.97-0.98) ± 0.01,0.73 (0.66-0.81) ± 0.05,9.0
LogisticRegression,0.98 (0.97-0.98) ± 0.00,0.76 (0.74-0.78) ± 0.02,0.86 (0.82-0.88) ± 0.03,0.80 (0.77-0.82) ± 0.02,0.86 (0.82-0.88) ± 0.03,0.85 (0.80-0.88) ± 0.03,0.98 (0.97-0.98) ± 0.00,0.69 (0.63-0.78) ± 0.07,9.0
