Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,k
NaiveBayes,0.97 (0.97-0.98) ± 0.01,0.74 (0.70-0.77) ± 0.03,0.89 (0.84-0.92) ± 0.03,0.80 (0.75-0.82) ± 0.03,0.89 (0.84-0.92) ± 0.03,0.88 (0.83-0.92) ± 0.03,0.97 (0.97-0.98) ± 0.01,0.73 (0.69-0.81) ± 0.05,30000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.85 (0.83-0.87) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.84 (0.82-0.86) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.82 (0.79-0.85) ± 0.03,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,30000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.89-0.91) ± 0.01,0.69 (0.65-0.72) ± 0.03,0.75 (0.72-0.79) ± 0.03,0.69 (0.65-0.72) ± 0.03,0.61 (0.54-0.67) ± 0.05,0.98 (0.98-0.98) ± 0.00,0.65 (0.58-0.68) ± 0.04,30000.0
NaiveBayes,0.97 (0.96-0.98) ± 0.00,0.72 (0.68-0.74) ± 0.02,0.89 (0.85-0.93) ± 0.03,0.78 (0.74-0.80) ± 0.02,0.89 (0.85-0.93) ± 0.03,0.89 (0.84-0.93) ± 0.03,0.97 (0.96-0.98) ± 0.00,0.73 (0.68-0.81) ± 0.05,40000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.85 (0.83-0.88) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.82 (0.79-0.85) ± 0.03,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,40000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.89 (0.83-0.93) ± 0.04,0.70 (0.68-0.73) ± 0.02,0.76 (0.74-0.79) ± 0.02,0.70 (0.68-0.73) ± 0.02,0.63 (0.60-0.69) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.65 (0.58-0.68) ± 0.04,40000.0
NaiveBayes,0.97 (0.96-0.97) ± 0.00,0.70 (0.67-0.72) ± 0.02,0.89 (0.85-0.93) ± 0.03,0.76 (0.73-0.79) ± 0.02,0.89 (0.85-0.93) ± 0.03,0.89 (0.84-0.93) ± 0.04,0.97 (0.96-0.97) ± 0.00,0.73 (0.68-0.81) ± 0.05,50000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.85 (0.83-0.88) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.82 (0.79-0.85) ± 0.03,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,50000.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.90 (0.83-0.96) ± 0.05,0.69 (0.66-0.74) ± 0.03,0.76 (0.73-0.80) ± 0.03,0.69 (0.66-0.74) ± 0.03,0.62 (0.57-0.69) ± 0.05,0.98 (0.98-0.99) ± 0.00,0.64 (0.59-0.66) ± 0.03,50000.0
NaiveBayes,0.96 (0.96-0.97) ± 0.01,0.69 (0.66-0.72) ± 0.02,0.90 (0.85-0.94) ± 0.04,0.75 (0.72-0.78) ± 0.03,0.90 (0.85-0.94) ± 0.04,0.90 (0.84-0.94) ± 0.04,0.96 (0.96-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,60000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.85 (0.83-0.87) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.84 (0.82-0.86) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.82 (0.79-0.85) ± 0.03,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,60000.0
