Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,RUS_X
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.81 (0.79-0.83) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.82 (0.81-0.84) ± 0.01,0.84 (0.82-0.87) ± 0.02,0.83 (0.80-0.86) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.72 (0.66-0.78) ± 0.05,20.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.82 (0.79-0.88) ± 0.04,0.74 (0.71-0.77) ± 0.03,0.77 (0.74-0.80) ± 0.03,0.74 (0.71-0.77) ± 0.03,0.69 (0.66-0.74) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.60-0.67) ± 0.03,20.0
NaiveBayes,0.98 (0.98-0.98) ± 0.00,0.78 (0.74-0.82) ± 0.03,0.87 (0.84-0.91) ± 0.03,0.82 (0.79-0.84) ± 0.03,0.87 (0.84-0.91) ± 0.03,0.86 (0.83-0.91) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.73 (0.66-0.81) ± 0.05,15.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.79 (0.78-0.82) ± 0.02,0.85 (0.82-0.87) ± 0.02,0.82 (0.80-0.83) ± 0.01,0.85 (0.82-0.87) ± 0.02,0.84 (0.80-0.86) ± 0.02,0.98 (0.98-0.98) ± 0.00,0.71 (0.65-0.77) ± 0.06,15.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.81 (0.78-0.86) ± 0.03,0.76 (0.74-0.77) ± 0.01,0.78 (0.76-0.80) ± 0.02,0.76 (0.74-0.77) ± 0.01,0.72 (0.69-0.74) ± 0.02,0.98 (0.98-0.98) ± 0.00,0.62 (0.58-0.64) ± 0.03,15.0
NaiveBayes,0.97 (0.97-0.98) ± 0.01,0.73 (0.69-0.77) ± 0.03,0.88 (0.84-0.92) ± 0.03,0.79 (0.74-0.81) ± 0.03,0.88 (0.84-0.92) ± 0.03,0.88 (0.83-0.92) ± 0.03,0.97 (0.97-0.98) ± 0.01,0.72 (0.67-0.81) ± 0.05,10.0
LogisticRegression,0.98 (0.97-0.98) ± 0.00,0.76 (0.74-0.77) ± 0.01,0.86 (0.82-0.89) ± 0.03,0.80 (0.77-0.81) ± 0.02,0.86 (0.82-0.89) ± 0.03,0.85 (0.80-0.89) ± 0.04,0.98 (0.97-0.98) ± 0.00,0.70 (0.64-0.76) ± 0.05,10.0
LightGBM,0.98 (0.97-0.98) ± 0.00,0.75 (0.71-0.80) ± 0.04,0.77 (0.76-0.78) ± 0.01,0.76 (0.73-0.78) ± 0.02,0.77 (0.76-0.78) ± 0.01,0.74 (0.72-0.76) ± 0.02,0.98 (0.97-0.98) ± 0.00,0.58 (0.53-0.63) ± 0.05,10.0
NaiveBayes,0.97 (0.96-0.98) ± 0.01,0.72 (0.68-0.75) ± 0.03,0.89 (0.85-0.92) ± 0.03,0.78 (0.73-0.80) ± 0.03,0.89 (0.85-0.92) ± 0.03,0.88 (0.84-0.92) ± 0.03,0.97 (0.96-0.98) ± 0.01,0.72 (0.66-0.80) ± 0.05,9.0
LogisticRegression,0.98 (0.97-0.98) ± 0.00,0.75 (0.73-0.76) ± 0.01,0.86 (0.82-0.89) ± 0.03,0.79 (0.77-0.80) ± 0.01,0.86 (0.82-0.89) ± 0.03,0.85 (0.80-0.89) ± 0.03,0.98 (0.97-0.98) ± 0.00,0.69 (0.63-0.76) ± 0.06,9.0
LightGBM,0.97 (0.97-0.98) ± 0.00,0.74 (0.70-0.81) ± 0.04,0.79 (0.74-0.82) ± 0.03,0.76 (0.73-0.81) ± 0.03,0.79 (0.74-0.82) ± 0.03,0.76 (0.69-0.81) ± 0.04,0.97 (0.97-0.98) ± 0.00,0.57 (0.53-0.60) ± 0.03,9.0
NaiveBayes,0.97 (0.96-0.97) ± 0.01,0.71 (0.67-0.73) ± 0.03,0.89 (0.86-0.93) ± 0.03,0.77 (0.73-0.80) ± 0.03,0.89 (0.86-0.93) ± 0.03,0.89 (0.85-0.93) ± 0.03,0.97 (0.96-0.97) ± 0.01,0.73 (0.67-0.81) ± 0.05,8.0
LogisticRegression,0.97 (0.97-0.98) ± 0.00,0.74 (0.71-0.76) ± 0.02,0.86 (0.81-0.89) ± 0.03,0.79 (0.75-0.81) ± 0.02,0.86 (0.81-0.89) ± 0.03,0.85 (0.80-0.89) ± 0.04,0.97 (0.97-0.98) ± 0.00,0.68 (0.62-0.75) ± 0.06,8.0
LightGBM,0.97 (0.97-0.98) ± 0.00,0.74 (0.72-0.81) ± 0.04,0.80 (0.76-0.84) ± 0.03,0.77 (0.74-0.80) ± 0.02,0.80 (0.76-0.84) ± 0.03,0.78 (0.73-0.82) ± 0.04,0.97 (0.97-0.98) ± 0.00,0.57 (0.51-0.65) ± 0.06,8.0
NaiveBayes,0.97 (0.96-0.97) ± 0.01,0.70 (0.67-0.72) ± 0.02,0.90 (0.86-0.93) ± 0.03,0.76 (0.72-0.79) ± 0.03,0.90 (0.86-0.93) ± 0.03,0.89 (0.85-0.93) ± 0.03,0.97 (0.96-0.97) ± 0.01,0.73 (0.67-0.81) ± 0.05,7.0
LogisticRegression,0.97 (0.97-0.98) ± 0.00,0.73 (0.70-0.75) ± 0.02,0.86 (0.83-0.90) ± 0.04,0.78 (0.75-0.79) ± 0.02,0.86 (0.83-0.90) ± 0.04,0.85 (0.81-0.90) ± 0.04,0.97 (0.97-0.98) ± 0.00,0.68 (0.61-0.75) ± 0.07,7.0
LightGBM,0.97 (0.97-0.98) ± 0.00,0.74 (0.70-0.78) ± 0.03,0.82 (0.80-0.83) ± 0.01,0.77 (0.75-0.80) ± 0.02,0.82 (0.80-0.83) ± 0.01,0.80 (0.78-0.82) ± 0.02,0.97 (0.97-0.98) ± 0.00,0.58 (0.53-0.64) ± 0.04,7.0
NaiveBayes,0.96 (0.96-0.97) ± 0.00,0.68 (0.67-0.70) ± 0.01,0.90 (0.87-0.93) ± 0.02,0.75 (0.72-0.76) ± 0.02,0.90 (0.87-0.93) ± 0.02,0.90 (0.87-0.93) ± 0.02,0.96 (0.96-0.97) ± 0.00,0.72 (0.66-0.81) ± 0.05,6.0
LogisticRegression,0.97 (0.96-0.97) ± 0.00,0.72 (0.68-0.74) ± 0.02,0.87 (0.82-0.90) ± 0.03,0.77 (0.73-0.78) ± 0.02,0.87 (0.82-0.90) ± 0.03,0.86 (0.81-0.90) ± 0.04,0.97 (0.96-0.97) ± 0.00,0.68 (0.60-0.75) ± 0.07,6.0
LightGBM,0.97 (0.96-0.98) ± 0.01,0.71 (0.68-0.78) ± 0.04,0.81 (0.76-0.85) ± 0.03,0.75 (0.72-0.80) ± 0.03,0.81 (0.76-0.85) ± 0.03,0.79 (0.73-0.84) ± 0.04,0.97 (0.96-0.98) ± 0.01,0.56 (0.50-0.63) ± 0.07,6.0
NaiveBayes,0.96 (0.95-0.96) ± 0.00,0.67 (0.65-0.68) ± 0.01,0.90 (0.88-0.93) ± 0.02,0.73 (0.71-0.75) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.96 (0.95-0.96) ± 0.00,0.72 (0.67-0.81) ± 0.05,5.0
LogisticRegression,0.97 (0.96-0.97) ± 0.00,0.71 (0.68-0.72) ± 0.02,0.87 (0.84-0.90) ± 0.03,0.76 (0.73-0.78) ± 0.02,0.87 (0.84-0.90) ± 0.03,0.87 (0.83-0.90) ± 0.03,0.97 (0.96-0.97) ± 0.00,0.67 (0.59-0.75) ± 0.08,5.0
LightGBM,0.96 (0.96-0.98) ± 0.01,0.69 (0.65-0.76) ± 0.04,0.82 (0.80-0.84) ± 0.02,0.73 (0.70-0.79) ± 0.04,0.82 (0.80-0.84) ± 0.02,0.80 (0.79-0.83) ± 0.02,0.96 (0.96-0.98) ± 0.01,0.57 (0.47-0.64) ± 0.08,5.0
NaiveBayes,0.95 (0.94-0.96) ± 0.01,0.65 (0.63-0.67) ± 0.02,0.91 (0.89-0.94) ± 0.02,0.71 (0.69-0.74) ± 0.02,0.91 (0.89-0.94) ± 0.02,0.90 (0.89-0.94) ± 0.02,0.95 (0.94-0.96) ± 0.01,0.71 (0.66-0.79) ± 0.05,4.0
LogisticRegression,0.96 (0.96-0.97) ± 0.00,0.69 (0.67-0.72) ± 0.02,0.88 (0.85-0.90) ± 0.03,0.75 (0.72-0.77) ± 0.02,0.88 (0.85-0.90) ± 0.03,0.87 (0.84-0.90) ± 0.03,0.96 (0.96-0.97) ± 0.00,0.66 (0.57-0.74) ± 0.07,4.0
LightGBM,0.96 (0.95-0.97) ± 0.01,0.67 (0.64-0.70) ± 0.03,0.85 (0.80-0.90) ± 0.04,0.73 (0.69-0.77) ± 0.03,0.85 (0.80-0.90) ± 0.04,0.84 (0.78-0.90) ± 0.05,0.96 (0.95-0.97) ± 0.01,0.54 (0.48-0.63) ± 0.06,4.0
NaiveBayes,0.93 (0.92-0.95) ± 0.01,0.62 (0.61-0.65) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.68 (0.65-0.72) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.93 (0.92-0.95) ± 0.01,0.71 (0.65-0.79) ± 0.05,3.0
LogisticRegression,0.96 (0.95-0.96) ± 0.01,0.67 (0.65-0.68) ± 0.02,0.88 (0.84-0.91) ± 0.03,0.73 (0.70-0.75) ± 0.02,0.88 (0.84-0.91) ± 0.03,0.87 (0.84-0.91) ± 0.04,0.96 (0.95-0.96) ± 0.01,0.65 (0.56-0.72) ± 0.07,3.0
LightGBM,0.95 (0.93-0.96) ± 0.01,0.64 (0.61-0.67) ± 0.03,0.85 (0.78-0.91) ± 0.05,0.69 (0.66-0.74) ± 0.03,0.85 (0.78-0.91) ± 0.05,0.84 (0.75-0.91) ± 0.06,0.95 (0.93-0.96) ± 0.01,0.51 (0.42-0.59) ± 0.07,3.0
NaiveBayes,0.91 (0.90-0.93) ± 0.01,0.60 (0.59-0.63) ± 0.02,0.90 (0.88-0.94) ± 0.02,0.65 (0.62-0.69) ± 0.02,0.90 (0.88-0.94) ± 0.02,0.90 (0.88-0.94) ± 0.02,0.91 (0.90-0.93) ± 0.01,0.70 (0.65-0.78) ± 0.05,2.0
LogisticRegression,0.95 (0.94-0.96) ± 0.00,0.65 (0.64-0.67) ± 0.01,0.88 (0.84-0.91) ± 0.03,0.71 (0.69-0.73) ± 0.02,0.88 (0.84-0.91) ± 0.03,0.88 (0.83-0.90) ± 0.03,0.95 (0.94-0.96) ± 0.00,0.65 (0.59-0.72) ± 0.06,2.0
LightGBM,0.92 (0.90-0.95) ± 0.02,0.61 (0.59-0.65) ± 0.02,0.86 (0.82-0.91) ± 0.04,0.65 (0.62-0.71) ± 0.03,0.86 (0.82-0.91) ± 0.04,0.86 (0.81-0.90) ± 0.04,0.92 (0.90-0.95) ± 0.02,0.51 (0.45-0.60) ± 0.05,2.0
NaiveBayes,0.88 (0.84-0.93) ± 0.03,0.58 (0.56-0.62) ± 0.02,0.89 (0.86-0.94) ± 0.03,0.61 (0.56-0.68) ± 0.04,0.89 (0.86-0.94) ± 0.03,0.89 (0.86-0.94) ± 0.03,0.88 (0.84-0.93) ± 0.03,0.69 (0.62-0.78) ± 0.06,1.0
LogisticRegression,0.90 (0.88-0.91) ± 0.01,0.59 (0.58-0.60) ± 0.01,0.89 (0.88-0.92) ± 0.02,0.63 (0.60-0.64) ± 0.02,0.89 (0.88-0.92) ± 0.02,0.89 (0.88-0.92) ± 0.02,0.90 (0.88-0.91) ± 0.01,0.63 (0.56-0.70) ± 0.07,1.0
LightGBM,0.85 (0.82-0.87) ± 0.02,0.56 (0.55-0.57) ± 0.01,0.86 (0.84-0.89) ± 0.02,0.57 (0.55-0.59) ± 0.02,0.86 (0.84-0.89) ± 0.02,0.86 (0.84-0.89) ± 0.02,0.85 (0.82-0.87) ± 0.02,0.46 (0.37-0.56) ± 0.07,1.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.70) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.70-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,baseline
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.89) ± 0.02,0.83 (0.80-0.88) ± 0.03,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.82 (0.78-0.87) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,baseline
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.83-0.95) ± 0.04,0.69 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.69 (0.67-0.73) ± 0.03,0.62 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.65) ± 0.03,baseline
